"","featureRankedList4join2","3","4","5","6","15","16","17","18","19","20","1","2","7","8","9","10","11","12","13","14"
"class$V1",NA,"1","1","1","1","1","1","1","1","1","1","3","3","3","3","3","3","3","3","3","3"
"X",NA,"mns20pip2p2","mns20pip4p","mns22pip2p","mns24pip4p","mns9pip4p","mnsC50pip2p","mnsC51pip4p2","mnsC52pip2p2","mnsC53pip2p2","mnsJ1pip4p","mns13pip3p_again","mns1pip3p","mns26pip1p","mns27pip1p","mns28pip1p2","mns2pip1p2","mns31pip3p2","mns32pip3p","mns34pip3p","mns4pip1p"
"X9.193083252","938"," 0.27787604","-0.66706714","-0.68303224"," 1.08786041"," 0.78486974"," 1.95548821","-0.50663465","-0.88433767","-0.92597343","-0.22485832"," 2.19873231","-0.61803190","-0.09021359","-0.57215241","-0.22452966","-0.80623538"," 0.02553589","-0.47541647","-0.25705342"," 0.07186611"
"X9.193333417","219"," 0.50460542","-0.74811052","-0.95870927"," 0.78271876"," 0.34005632"," 1.57503235","-0.47617901","-0.86229431","-0.98559445","-0.25506620"," 1.62693561","-0.68253017","-0.31409222","-0.77354130","-0.16218579","-0.85653135"," 0.11181054","-0.48974371","-0.35930342","-0.06420915"
"X9.193583504","90"," 0.51126291","-0.70975567","-1.02809778"," 0.70233336"," 0.63452860"," 1.68788773","-0.48018896","-0.88648254","-0.94117012","-0.29450991"," 1.64207438","-0.75907666","-0.30785208","-0.69550307","-0.03374816","-0.82178384"," 0.17233101","-0.52117629","-0.64554867","-0.07569338"
"X9.193833202","1257"," 0.3019357","-0.8458179","-1.0615616"," 0.5927764"," 0.4802367"," 1.8309468","-0.7460613","-0.9149342","-1.0507305","-0.3513201"," 1.0792658","-0.7933761","-0.3956210","-0.9000245"," 0.3807920","-0.7729006"," 0.4919705","-0.5807275","-0.2928512","-0.1397434"
"X9.19391692","1526"," 0.17429132","-0.67033811","-0.69334590"," 0.96175746"," 0.50835631"," 1.76067876","-0.55812179","-1.44178898","-0.95244126","-0.30751565"," 1.80363286","-0.60170657","-0.12044833","-0.57423660","-0.21796904","-0.80663300","-0.27180994","-0.67294814","-0.24586764"," 0.00557524"
"X9.194083295","1070"," 0.51264589","-0.75956222","-0.95185857"," 0.68882369"," 0.48594567"," 1.60943629","-0.46108415","-0.88153343","-1.01256063","-0.21066088"," 1.62117099","-0.69703362","-0.37118594","-0.80036787","-0.06210336","-0.85262302"," 0.17795642","-0.48161771","-0.38422310","-0.10955406"
"X9.194833318","707"," 0.3315403","-0.5793303","-0.7579858"," 0.6407999"," 0.4296735"," 1.6044684","-0.3273628","-0.8939332","-0.8029004","-0.8502210"," 1.3683774","-0.3940909","-0.3133395","-0.5462179","-0.7133916","-0.5934250","-0.4720558","-0.1454098","-0.1316820","-0.8496960"
"X9.195333504","328"," 0.42785982","-0.73153379","-0.88783147"," 0.70131579"," 0.43705326"," 1.51088985","-0.53595416","-0.94174565","-1.14104420","-0.21968113"," 1.52735715","-0.69876943","-0.31225807","-0.76773082","-0.07997794","-0.80923455"," 0.13423706","-0.45177746","-0.40582956","-0.28743197"
"X9.196333318","488"," 0.77837528","-0.95623593","-1.05549251"," 0.66514609"," 0.38763133"," 1.65970647","-0.30145386","-0.81930348","-1.01668024","-0.43300202"," 1.35663309","-0.63148085","-0.44409380","-0.91366108"," 0.13724622","-0.83717106"," 0.31009932","-0.47349624","-0.34015184","-0.09334253"
"X9.196666651","247"," 0.6835145","-0.8984751","-0.8452563"," 0.9745281"," 0.5270530"," 1.9617192","-0.4469662","-0.6478730","-1.0690039","-0.6694617"," 1.5164251","-0.5608157","-0.4650956","-1.0685963","-0.4234105","-0.7053882","-0.1915530","-0.4597715","-0.3927255","-0.5153760"
"X9.197999799","183"," 0.32385469","-0.71116559","-0.65552197"," 0.90266711"," 0.77341735"," 1.67083287","-0.63890277","-0.89846983","-0.88044265","-0.30046370"," 1.98200968","-0.66356574","-0.25320198","-0.67121571"," 0.13046061","-0.74775340","-0.11847683","-0.43516727","-0.24062204","-0.03560357"
"X9.204166466","466"," 0.43723491","-0.75463963","-0.65788766"," 0.84082347"," 0.35629670"," 1.60737082","-0.67250815","-1.44090464","-1.18265648","-0.39750480"," 1.47486180","-0.45526719","-0.26601333","-0.54682610","-0.39731274","-0.49328010","-0.01335092","-0.48965964","-0.17621416"," 0.08078718"
"X9.204999985","1355"," 0.8997401","-0.8870163","-1.0289565"," 0.7018355"," 0.2083181"," 1.7695385","-0.7653537","-0.7958255","-0.9731346","-0.6512699"," 1.3936313","-0.6635419","-0.4308520","-1.0042840"," 0.3342203","-0.7833385"," 0.5146307","-0.4088138","-0.2561014","-0.3726114"
"X9.205083318","99","-1.113972841","-0.381741436","-0.510717985"," 0.978286426"," 0.810917083"," 1.639190894","-0.504766930","-1.049327387","-1.063019163","-0.142629471"," 1.799385506","-0.344819971","-0.103008956","-0.330359653","-0.957617335","-1.144620862"," 0.391979162","-0.770081418"," 0.007297809"," 0.117399537"
