rtmed,mns13pip3p_again,mns1pip3p,mns20pip2p2,mns20pip4p,mns22pip2p,mns24pip4p,mns26pip1p,mns27pip1p,mns28pip1p2,mns2pip1p2,mns31pip3p2,mns32pip3p,mns34pip3p,mns4pip1p,mns9pip4p,mnsC50pip2p,mnsC51pip4p2,mnsC52pip2p2,mnsC53pip2p2,mnsJ1pip4p,mns12pip4p,mns15pip2p,mns15pip4p2,mns18pip2p,mns23pip2p,mns23pip4p,mns24pip2p,mns25pip3p,mns26pip3p2,mns30pip1p,mns30pip3p2,mns32pip1p,mns34pip1p,mns35pip1p2,mns3pip3p,mns41pip4p,mns4pip3p2,mns6pip1p,mns9pip2p,mnsC52pip4p
9.191083411,157731.4292,16557.94245,38450.74244,19767.48085,40537.22432,122042.9122,61942.71358,18916.6695,60701.05389,18653.44412,35449.26134,22297.888,59045.79432,64358.90925,146371.5643,122870.8498,23581.30166,5894.932468,13517.66122,33594.5552,67630.74179,170248.639,36765.64196,151118.2793,40439.44864,19840.96621,106202.3921,42622.68255,27595.78059,31907.47192,36491.22998,28205.96432,39750.87209,4092.463766,20983.32077,42527.4986,14831.94491,43597.26211,154958.5157,223141.9186
9.191416827,10567.22807,1476.633846,3618.641659,1569.278286,3176.367895,8845.998228,4666.762708,1592.884695,5212.939759,1688.579367,3070.775556,1765.190213,4831.343128,5305.882897,9728.796591,8550.691818,2208.033346,656.6511341,1261.37793,3020.968086,5133.392561,10985.35007,3332.649139,9988.961122,3076.975589,1720.532351,7852.294452,3288.538637,2475.341944,2744.674597,3341.90439,1778.791824,3600.636491,480.9617684,1864.731655,3271.193282,1079.293943,3264.018084,9982.554748,13790.99216
9.191833504,200650.3047,30817.37198,79130.66872,38117.18643,60952.07916,178463.6635,97213.20329,30761.51887,111649.0085,36874.78372,68359.32376,41177.29168,101995.7958,107815.4278,190757.9665,172267.6145,48246.59199,13858.65456,27785.7093,64181.06228,107680.3165,199528.9231,72285.70068,188753.6809,58775.96148,36341.64933,163698.0422,63775.37888,53870.728,56786.54528,71746.72747,50965.46975,75156.81373,8597.665576,39592.64209,62943.23959,28981.85771,78449.04086,187456.198,268079.3568
9.19216692,95876.47328,10590.59081,23821.62242,13017.10569,26318.63291,76985.77988,39810.41652,12472.36618,37463.01006,11413.22959,21966.72142,13827.99358,37068.72034,40890.73994,90409.85254,75860.52993,15440.58468,3873.625349,8448.270244,22035.40216,42267.94589,99029.00673,22729.03145,90185.72202,25369.24821,12676.9586,65261.22423,26403.98044,17217.99885,20397.99194,22375.3118,17497.74702,25041.50954,2741.678541,13350.04448,26424.12333,9640.895465,28421.01124,95210.76895,134299.4193
9.192500336,36537.04821,5462.354056,14026.69573,6636.059953,11458.17067,32599.73084,17800.89452,5477.331715,19772.98943,6156.538095,11689.99004,6521.813388,17956.97802,19771.14683,34222.52198,30899.84015,8069.655781,2246.224512,4615.260554,11573.279,19168.80738,35740.28998,12118.05028,32880.19895,10912.67095,6376.006529,29257.02663,10699.24712,9207.577903,10280.99381,12344.51656,8583.436374,13163.43318,81.01371979,6806.99848,10940.71869,4431.289293,14466.9011,35575.65635,49585.7485
9.192666711,150646.3729,20800.31286,51080.53969,26969.69517,44153.71837,132625.2299,69344.07531,22542.14896,73800.16545,24134.76948,44459.78677,27626.48613,70685.17469,79028.23452,136245.5771,121726.2222,32645.36907,9122.193743,18616.34061,45923.25917,75097.79495,138994.835,47561.97631,128270.6858,40594.5792,24362.68271,113182.5963,42017.45975,35556.48611,40426.80697,49148.55676,33860.5202,50322.12721,5906.911092,25928.21619,41765.64487,21029.78007,56367.07905,144463.4142,208890.5022
9.192833087,148677.0379,18486.41308,43140.57334,23334.27626,42753.28452,124420.4772,64786.85054,21138.32617,64251.62987,20474.33748,38074.0964,23746.03449,62923.09592,69167.38273,137496.9537,117197.1137,27304.11394,7432.799533,15592.22572,38527.98637,68959.85632,146009.785,40504.27987,133653.4776,40206.33584,21507.15032,105418.812,41933.31623,30202.08745,35100.36203,40189.47974,29610.18908,43413.75798,51.37937913,23267.49745,41705.27499,17247.27372,48892.14595,147505.8297,209144.3063
9.193083252,275972.2492,30483.26892,68866.9927,39997.89965,76218.13191,232045.9502,120078.1082,37250.89256,97222.23932,33026.4243,59961.21748,38328.13814,109874.991,126741.6677,231574.7177,206845.6151,44065.94529,11909.70435,26180.31893,65781.41197,120210.2855,0,63589.50536,223549.3385,69124.46071,35978.82779,182108.007,70884.99806,47827.6277,62023.78612,69088.88323,46962.90893,72603.16594,8935.646681,38503.68998,69693.82937,30089.07991,85980.78877,265036.4678,245377.1836
9.193333417,377120.4329,53667.35137,127306.4716,70020.16932,112764.3972,339413.4228,183174.741,58643.23823,176078.0873,60807.16641,106950.0835,68511.25629,181635.6713,201927.1771,319295.3599,297019.0453,81504.76325,23838.42757,49175.03401,113155.384,189027.9435,321012.0406,120863.4832,300868.0616,101933.0968,61162.09043,282541.1619,103945.8756,86916.81455,104700.2438,126365.9914,81034.49256,127766.2682,15826.69762,67253.23625,102130.5162,53891.96614,144323.89,347439.9823,501232.0863
9.193583504,3496.152969,413.7270892,1147.201616,594.8290725,815.3043898,2980.865104,1582.330987,515.1072355,1651.712294,507.3383735,975.1837278,566.1294005,1247.710412,1755.885535,3243.291107,2830.646501,688.8881768,186.6987626,405.926892,952.9388092,1613.938624,3263.819325,1011.733866,3119.724745,1007.978639,520.859034,2712.43469,1042.916891,713.531345,836.1724767,948.4166223,725.2697912,934.4706519,127.6790898,480.8158546,988.5836989,482.7090304,1276.140782,3359.080335,3156.585748
9.193833202,6860.496862,1055.602752,2508.133145,1386.617882,2185.151341,6777.363966,3739.643169,1130.075251,4885.557733,1400.476295,2703.523614,1381.804837,4052.784323,4161.216586,7251.432451,6815.81404,1440.701216,488.4056783,989.2312692,2293.503447,4084.152839,6718.662201,2779.846826,7031.153722,2287.585885,1430.99535,6141.372879,2141.007725,2127.79938,2167.115293,2908.927631,1829.268029,2948.711283,255.9239748,1620.242065,2234.714685,1071.782439,2989.970631,7201.756879,10223.78099
