"","Comp 1","Comp 2"
"X10.4937504",-0.00193504937560215,-0.00819708696928497
"X10.49616707",-0.00788118471595124,-0.00642593942869902
"X10.49683355",-0.00302781917134688,-0.00146447145582084
"X10.49783295",-0.0142613416627537,-0.00200292656292542
"X10.4981663",-0.0149345500641612,-0.00783401767780393
"X10.4991666",0.0105855007354939,-0.0132473291894868
"X10.49933295",-0.0174616815036363,-0.00359015635582716
"X10.5011663",-0.0235309148624194,-0.00339889769479018
"X10.50149964",0.0355480993729617,-0.0257467831183341
"X10.5065002",0.000986598067380431,-0.0027369816992783
"X10.50733353",-0.000374957787302387,0.00164366114052842
"X10.50741688",-0.0120950221113748,-0.00203909437963346
"X10.50816687",-0.00888925554404697,-0.00230008503002692
"X10.97316683",-0.018409603482233,-0.00442459322359731
"X10.97774998",-0.0172803601755803,-0.00410857732115815
"X11.00141646",-0.0166061113524214,-0.00290009314743407
"X11.00516665",-0.0205575168954509,0.000454093903588583
"X11.00591656",-0.0151403292502422,-0.0020343842675662
"X11.00733313",-0.049299859406085,-0.0146643548391514
"X11.0086663",-0.0115742631245749,-0.00241467307548247
"X11.00966665",-0.0333292663127036,-0.00492964084361651
"X11.0097498",-0.00760183077868792,-0.000817794721338125
"X11.01008341",-0.0130574246374496,-0.00357375461546477
"X11.0144998",-0.0120024915123785,-0.0042832918939396
"X11.01483334",-0.0126108750972567,0.00140167427658412
"X11.01583313",-0.013295898408244,0.000610806078763264
"X11.0167497",-0.00107817015837205,0.00108810180787447
"X11.01749982",-0.00920005241954005,-7.38182742338289e-06
"X11.01916681",-0.00029534606247906,0.00138823897398374
"X11.01949991",-0.0108869538686734,0.00606252881387921
"X11.0345",-0.00840916875173656,-0.00188276394529913
"X11.04091675",-0.0199355722060036,-0.00463956567318363
"X11.31400028",-0.0152080595446107,0.00636946260490075
"X11.70458354",-0.010006023253548,0.00240748017054863
"X11.87899969",-0.0414355919974731,-0.00324130319009276
"X11.88049999",-0.0253415835110304,-0.00106314179916832
"X11.88199952",-0.0241418227062608,0.00115079283539922
"X11.88399971",-0.0111205222582018,-0.000514118342013547
"X11.885833",-0.0171804620340717,-0.00157629663403946
"X11.89033293",-0.00756160008834994,-1.16224042496882e-05
"X11.89083302",-0.0268330271081509,0.000369815479976378
"X11.89283294",-0.0157565228022812,-0.000797329731641465
"X11.89483286",0.0335962130391808,-0.00145253306542945
"X11.89483323",-0.0153981889358839,-0.000187381378569346
"X11.89483331",-0.016052872881889,-0.000975598384453568
"X11.89483351",-0.017758387812521,0.00223394246511262
"X11.89483361",0.062605425330276,0.0204401256318108
"X11.89483369",-0.0252152900450986,-0.00269391762611247
"X11.89483377",-0.032752438896746,-0.000550485376629454
"X11.89491656",-0.00741329030807457,-0.000724209007207572
"X11.89491665",-0.0110472289098511,-0.00173714511411369
"X11.89491703",-0.0119568828297341,0.000692271719907856
"X11.89499952",-0.019513873115791,0.00021213181019781
"X11.89499969",-0.00865024138592253,-0.00075397675449867
"X11.89499991",-0.011055191936885,-0.000714918373505638
"X11.89499999",0.00336699267223801,0.000577257390193241
"X11.89500029",-0.0067349108866946,-0.000613074680173186
"X11.89500036",-0.00537200022700088,-0.000414493840348976
"X11.89500038",-0.00145263267838247,0.00171313253527834
