"","Comp 1","Comp 2"
"X12.84458335",-0.037349996428274,0.043778189885887
"X12.8446663",-0.0397232115949677,0.03668061885315
"X12.84466648",-0.0346406900660966,0.0472046821967144
"X12.84466657",-0.0315818456943285,0.0489080377885315
"X12.84466667",-0.0241708387324521,0.0406210599210657
"X12.84500038",-0.0351452440771334,0.0462213772127223
"X12.84575",-0.0178414686505469,0.0467355664608199
"X12.84649963",-0.0382626720155932,0.0429163226823572
"X12.84666648",-0.0286757859873232,0.0444992666431307
"X12.84683333",-0.0260187866023892,0.0382632592297016
"X12.84724991",-0.0395461603817106,0.0413248253561024
"X12.84766648",0.01588788647865,0.0463808425110884
"X12.84899991",-0.0281291661652671,0.0514412699179175
"X12.85116648",-0.0329961301801087,0.0481725995169055
"X12.8512498",-0.0214622720131346,0.0538882315422759
"X12.85133313",-0.0294772563281385,0.0367379615777095
"X12.85208315",-0.0218867744172868,0.0526456866969802
"X12.85249971",-0.0240301505932264,0.0475688146932076
"X12.85299981",-0.0351188539211724,0.0455718464803762
"X12.85383296",-0.0339780024158239,0.0466275596401943
"X12.85424964",-0.0253764690384058,0.0410616513411708
"X12.85849963",-0.0345535103223434,0.0447622802162255
"X12.86033343",-0.0376684575914151,0.0403817084705056
"X12.86066708",-0.0201282989299459,0.0560185020670459
"X13.32750025",-0.0297963087211317,0.00841363527382231
"X13.32950034",-0.0498852645882467,-0.00292413810604646
"X14.18216657",-0.0477432805091842,0.00269314390792024
"X14.21349995",-0.0350258331710242,0.0256291701716576
"X14.21550005",0.0205882854315218,0.0178357369960885
"X14.23091652",-0.0405101015692505,0.0164396258342044
"X14.23099984",-0.00245273002018183,-0.00493902179323631
"X14.24983303",0.0178336519630633,0.0036628008805731
"X14.25016646",-0.0347279624567127,0.0379300422021863
"X14.25416644",-0.0417527221662567,0.0146010542772509
"X14.25466643",-0.028046576551333,0.0201143884206625
"X14.26099966",-0.0366087532327265,0.0249837478494612
"X14.26100045",-0.0232033406572661,0.0342202081949887
"X14.26233322",-0.0187105682376643,0.0482014752339876
"X14.26308339",0.0133345797804585,-0.00183441472471621
"X14.26333301",-0.0209296141156335,0.0467598302462282
"X14.26341636",-0.0173740276305212,0.0445056661658128
"X14.26349968",-0.0129000772790753,0.0503728768953372
"X14.26383322",-0.000299388113270125,0.056241414524293
"X14.26533378",-0.0312800959250881,0.0376617183445669
"X14.26866702",-0.0328313189606506,0.0297034957576026
"X14.27066693",-0.0245413409853077,0.0467813175306289
"X14.27849968",-0.0365104591262408,0.0310180925449594
"X14.27883341",-0.0204053121084158,0.0453710435558197
"X14.27966673",-0.0333147225673297,0.0284305971080011
"X14.28075006",0.0325494713000142,-0.00380369498532219
"X14.28283331",-0.0294648711400222,0.0340741430486134
"X14.28333322",-0.0389648730422293,0.0238181641659067
"X14.28508329",-0.0347410926487346,0.0355865212950812
"X14.28608341",-0.025165935083165,0.0287477506962282
"X14.28616703",-0.0178276064161432,0.0475832868736102
"X14.28674998",-0.0317235366819819,0.0363446190359027
"X14.28925006",-0.0394404967724853,0.0339095165420836
"X14.29300026",-0.0382255661814266,0.0262059409125524
