"Pair_of_PCs","Sum_p_values(F_statistics)","Variance(%)"
"PC7vsPC24",1.70380268901221,4
"PC6vsPC12",1.7102083402689,5.8
"PC13vsPC17",1.72226046579597,2.6
"PC2vsPC5",1.72287880201726,19.8
"PC7vsPC10",1.73107350296739,6
"PC4vsPC11",1.73744283817184,9.3
"PC8vsPC15",1.73794935813887,4.3
"PC2vsPC20",1.74645735447912,15.4
"PC21vsPC27",1.74776787303083,1.2
"PC4vsPC18",1.75673783114291,8.2
"PC10vsPC12",1.75969326425415,4.4
"PC1vsPC6",1.76353174060678,32.5
"PC12vsPC16",1.76451077065357,3.1
"PC10vsPC24",1.76456450185037,3
"PC6vsPC11",1.76678275576549,6
"PC17vsPC29",1.77292202914779,1.4
"PC18vsPC29",1.78262168697357,1.3
"PC17vsPC23",1.79826644738103,1.8
"PC18vsPC21",1.79919586922385,1.8
"PC20vsPC26",1.80509524318486,1.3
"PC6vsPC28",1.80654879890132,4.2
"PC13vsPC18",1.81738609313266,2.5
"PC1vsPC4",1.81895039989053,35.8
"PC5vsPC26",1.81957137519415,5.7
"PC2vsPC8",1.82066197433277,17.7
"PC12vsPC21",1.82581400137693,2.7
"PC18vsPC23",1.82610776118716,1.7
"PC1vsPC23",1.83057743228207,29.3
"PC5vsPC27",1.83936516371735,5.6
"PC1vsPC13",1.84287740844684,30.1
"PC6vsPC7",1.84394824931192,7.4
"PC12vsPC13",1.84472834155276,3.4
"PC21vsPC26",1.84548089316309,1.3
"PC20vsPC27",1.84790488495541,1.2
"PC4vsPC12",1.86273444755812,9.1
"PC17vsPC21",1.87523089706367,1.9
"PC13vsPC28",1.87640487867744,1.8
"PC12vsPC23",1.8848019803774,2.6
"PC8vsPC26",1.89125863219451,3.6
"PC11vsPC13",1.89162477615873,3.6
"PC8vsPC27",1.89448459538864,3.5
"PC16vsPC18",1.89785902388766,2.2
"PC6vsPC24",1.90310035903272,4.4
"PC16vsPC17",1.92110677620641,2.3
"PC1vsPC29",1.92375430943574,28.9
"PC18vsPC20",1.92752842519528,1.8
"PC16vsPC24",1.93386153674722,1.7
"PC5vsPC17",1.93410663017042,6.3
"PC24vsPC29",1.93777071178694,0.8
"PC11vsPC29",1.94490352192274,2.4
"PC4vsPC24",1.9449174503192,7.7
"PC5vsPC18",1.94801692364591,6.2
"PC17vsPC20",1.95454036003322,1.9
"PC4vsPC28",1.95582610301602,7.5
"PC13vsPC24",1.95683747630328,2
"PC6vsPC10",1.95689274313384,6.4
"PC1vsPC16",1.95807841419742,29.8
"PC7vsPC16",1.96641434664345,4.7
"PC5vsPC12",1.98185777174214,7.1
"PC23vsPC24",1.99923502107564,1.2
"PC5vsPC11",2.00094947002849,7.3
"PC7vsPC23",2.00687699278077,4.2
"PC11vsPC23",2.00689969534222,2.8
"PC21vsPC28",2.01135959446161,1.1
"PC1vsPC21",2.01580441690032,29.4
"PC8vsPC17",2.01611087524526,4.2
"PC23vsPC28",2.01731673002134,1
"PC7vsPC29",2.02241920233787,3.8
"PC12vsPC20",2.02659124830259,2.7
"PC11vsPC16",2.02799922201404,3.3
"PC8vsPC12",2.03979622212741,5
"PC7vsPC13",2.04132997535181,5
"PC1vsPC20",2.04165628753843,29.4
"PC8vsPC18",2.04888142428197,4.1
"PC10vsPC29",2.05140483630826,2.8
"PC28vsPC29",2.05718727066902,0.6
"PC10vsPC23",2.06581080870215,3.2
"PC4vsPC6",2.06743693522351,11.1
"PC11vsPC21",2.06753338760052,2.9
"PC1vsPC5",2.082990797827,33.8
"PC6vsPC29",2.0882508659784,4.2
"PC10vsPC16",2.08885044459229,3.7
"PC10vsPC21",2.09627161935255,3.3
"PC10vsPC13",2.09769519415569,4
"PC16vsPC28",2.10773916126223,1.5
"PC11vsPC20",2.121845045252,2.9
"PC21vsPC24",2.12552943048065,1.3
"PC6vsPC13",2.13254200935025,5.4
"PC5vsPC28",2.13772862424545,5.5
"PC20vsPC24",2.14546907559478,1.3
"PC1vsPC8",2.14632046105031,31.7
"PC4vsPC10",2.1521911969694,9.7
"PC7vsPC21",2.16650055660945,4.3
"PC5vsPC24",2.17805006004321,5.7
"PC20vsPC28",2.18216691695642,1.1
"PC4vsPC13",2.1855488908613,8.7
"PC6vsPC16",2.1856497083825,5.1
"PC8vsPC11",2.1866078388836,5.2
"PC6vsPC23",2.19163997398275,4.6
"PC5vsPC7",2.20957610195514,8.7
"PC8vsPC24",2.23353056521393,3.6
"PC8vsPC28",2.24342428728648,3.4
"PC5vsPC10",2.24695472295148,7.7
"PC7vsPC20",2.25259605316808,4.3
"PC6vsPC21",2.25917122898755,4.7
"PC4vsPC29",2.26030381893095,7.5
"PC7vsPC8",2.2967789959309,6.6
"PC10vsPC20",2.29840691608032,3.3
"PC4vsPC23",2.29962479269365,7.9
"PC13vsPC16",2.31274530973511,2.7
"PC5vsPC6",2.31438150565559,9.1
"PC8vsPC10",2.31878883470286,5.6
"PC4vsPC16",2.32467220998728,8.4
"PC16vsPC29",2.33183632954493,1.5
"PC13vsPC23",2.34051287118353,2.2
"PC6vsPC20",2.34983138509588,4.7
"PC13vsPC29",2.37288979748833,1.8
"PC4vsPC21",2.38275347626926,8
"PC23vsPC29",2.41399357001149,1
"PC6vsPC8",2.42066882682015,7
"PC16vsPC23",2.43104147136004,1.9
"PC13vsPC21",2.44533350177472,2.3
"PC4vsPC20",2.48599128595677,8
"PC21vsPC23",2.48728912775715,1.5
"PC21vsPC29",2.49071039469446,1.1
"PC4vsPC5",2.51173627135575,12.4
"PC5vsPC13",2.51772379758166,6.7
"PC16vsPC21",2.52266313896602,2
"PC5vsPC29",2.56330767124493,5.5
"PC13vsPC20",2.56973245766244,2.3
"PC4vsPC8",2.57755304809536,10.3
"PC20vsPC29",2.58091470776521,1.1
"PC5vsPC23",2.58714476213358,5.9
"PC20vsPC23",2.60049644219234,1.5
"PC8vsPC13",2.60549052336006,4.6
"PC16vsPC20",2.62536539584383,2
"PC5vsPC16",2.63323104697989,6.4
"PC8vsPC23",2.66255238405019,3.8
"PC8vsPC29",2.670834730583,3.4
"PC5vsPC21",2.68460842227193,6
"PC8vsPC16",2.69376923269146,4.3
"PC20vsPC21",2.73327689453465,1.6
"PC8vsPC21",2.79591596687416,3.9
"PC5vsPC20",2.82150738865258,6
"PC5vsPC8",2.88457515972924,8.3
"PC8vsPC20",2.90199776780796,3.9
