"Pair_of_PCs","Sum_p_values(F_statistics)","Variance(%)"
"PC11vsPC20",1.43533166645331,2.3
"PC24vsPC26",1.43547715574558,1
"PC11vsPC26",1.43950594546812,2.1
"PC12vsPC19",1.43951629221594,2.3
"PC1vsPC19",1.44430303919328,37.8
"PC15vsPC26",1.45102269452214,1.6
"PC9vsPC29",1.45544448199868,2.8
"PC20vsPC27",1.46106338004731,1.1
"PC1vsPC16",1.4654261128798,37.9
"PC12vsPC22",1.46743813638471,2.1
"PC3vsPC4",1.47155245341456,16.4
"PC16vsPC24",1.47361353246889,1.4
"PC3vsPC27",1.48640252274857,9.3
"PC19vsPC21",1.48676663689878,1.5
"PC3vsPC14",1.48751402494699,10.2
"PC1vsPC27",1.49440658528895,37.4
"PC1vsPC28",1.49521152932777,37.4
"PC4vsPC12",1.49918069593194,9
"PC4vsPC16",1.50020059033341,8.4
"PC16vsPC22",1.50099477219132,1.5
"PC12vsPC24",1.50370473979407,2
"PC21vsPC22",1.51000701515911,1.3
"PC12vsPC14",1.51156543458451,2.8
"PC1vsPC22",1.51492293455175,37.6
"PC1vsPC24",1.51580586133334,37.5
"PC4vsPC9",1.51800206207591,10
"PC5vsPC26",1.52039230527619,5.1
"PC8vsPC27",1.52061835294879,3.3
"PC8vsPC22",1.52384107899231,3.5
"PC3vsPC19",1.52390509373816,9.7
"PC16vsPC19",1.52416736762448,1.7
"PC21vsPC27",1.5243978493812,1.1
"PC11vsPC12",1.5250592157846,3.1
"PC9vsPC14",1.52678363464502,3.8
"PC3vsPC24",1.52704227118109,9.4
"PC21vsPC28",1.53342956806681,1.1
"PC16vsPC21",1.53512975276846,1.6
"PC16vsPC27",1.53579211580725,1.3
"PC1vsPC3",1.53588542999251,45.9
"PC1vsPC4",1.53630926336896,44.5
"PC22vsPC28",1.55142015299827,1
"PC8vsPC28",1.55807144473893,3.3
"PC4vsPC21",1.56211343993328,8.2
"PC9vsPC19",1.56213416697507,3.3
"PC3vsPC11",1.56329945090408,10.5
"PC16vsPC28",1.56856960387643,1.3
"PC1vsPC11",1.58042285869623,38.6
"PC8vsPC9",1.58967235759442,5.4
"PC28vsPC29",1.59986335708665,0.7
"PC11vsPC16",1.60025531445022,2.5
"PC8vsPC29",1.60130826307655,3.2
"PC11vsPC29",1.60189508230067,1.9
"PC24vsPC29",1.60392764038985,0.8
"PC6vsPC26",1.60669801180056,4.4
"PC11vsPC21",1.61328163816306,2.3
"PC3vsPC15",1.61422263727611,10
"PC20vsPC25",1.61608395890557,1.2
"PC11vsPC22",1.62351808774158,2.2
"PC21vsPC24",1.62618746711499,1.2
"PC4vsPC22",1.62665491638293,8.1
"PC1vsPC15",1.62731986336659,38.1
"PC5vsPC20",1.63470433123991,5.3
"PC9vsPC15",1.63610811266504,3.6
"PC14vsPC21",1.63685302081713,2
"PC22vsPC24",1.64111375468071,1.1
"PC12vsPC25",1.64281083906029,2
"PC7vsPC20",1.64363964186912,3.9
"PC15vsPC21",1.65017436585169,1.8
"PC6vsPC20",1.65880052112194,4.6
"PC22vsPC27",1.65931368242646,1
"PC19vsPC29",1.66059724407341,1.1
"PC4vsPC27",1.66636420164415,7.9
"PC25vsPC29",1.66950940647309,0.8
"PC14vsPC16",1.67045715112605,2.2
"PC19vsPC22",1.67064836990828,1.4
"PC9vsPC25",1.67107325273722,3
"PC19vsPC27",1.67207775656017,1.2
"PC11vsPC28",1.67370463949949,2
"PC23vsPC26",1.67396424107423,1.1
"PC7vsPC26",1.67771665832458,3.7
"PC8vsPC11",1.67796771616355,4.5
"PC12vsPC15",1.68194727413156,2.6
"PC15vsPC29",1.68754680770892,1.4
"PC5vsPC9",1.68775518626102,7.1
"PC11vsPC27",1.69068151475753,2
"PC15vsPC22",1.69208603309197,1.7
"PC4vsPC29",1.6931366893887,7.8
"PC24vsPC27",1.69539363433474,0.9
"PC19vsPC24",1.7002246808455,1.3
"PC24vsPC28",1.7025741850217,0.9
"PC4vsPC24",1.70560248464568,8
"PC15vsPC16",1.70801612707626,2
"PC27vsPC28",1.70994769615215,0.8
"PC20vsPC23",1.71745077040718,1.3
"PC1vsPC14",1.71922590788243,38.3
"PC3vsPC25",1.72045674092632,9.4
