"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30"
"X14.3576666",0.00246529019957765,0.0187040074904287,0.062198180212472,-0.0103903123748357,0.0221209410757601,-0.0108405433315337,-0.0321308111953171,-0.0308305563229342,0.013536492454339,0.000272156187597352,-7.0649131568085e-05,0.0798759545502781,-0.0188485613205311,0.0260298782967564,-0.00954851915523238,0.0169566517752133,0.0149207635592344,-0.0156470915771054,-0.00620149988093328,0.0427385339055921,-0.00911272221939045,0.0196266437933589,-0.000462325337655082,-0.0311138756027826,0.00803808574642175,0.0349414935973148,-0.00850733802223566,-0.0195652354557706,0.0114241642943614,-0.000592493547724643
"X14.35858353",-0.00691285549638273,-0.0236582062840858,0.00876418188003333,-0.0141413677372666,0.064186110832398,0.0303061556562012,-0.0300369253611799,0.0227516882359202,-0.00806371173692257,0.00741651379184146,0.0277096283873058,0.0228338480033841,0.00461202071369174,0.0312828430525664,-0.0150009237179724,0.041861725976571,-0.0194109478167621,0.0278785078967982,0.115743141997948,0.0805642122682431,0.011179160204804,0.0255095191379469,-0.0668163169268803,-0.00102450250018006,0.0104157234477939,-0.0263881642938484,-0.00676871401880422,0.027757376172702,-0.0248082508613773,0.00016184146561918
"X14.35883353",0.0071029752876762,-0.0142363585424121,0.031558823923706,-0.0344243645380323,0.0695046109010131,0.0137908977088985,-0.0245933281178532,-0.0135712923888824,-0.0241259165939483,0.0599044573724748,-0.00529597000712273,-0.00737107892866151,-0.0160758380845334,0.0213930084736629,-0.00240735424186545,0.00435505573730637,0.0366440194638993,0.0174993198817636,0.00448699242480409,-0.0162728587034852,-0.00669865827266156,-0.0333608239680601,0.041800670474045,0.0242440844923754,-0.0266000110586636,0.0271796269888762,-0.00338459736945927,0.042422538001792,0.0348426473468614,-0.0185242041558857
"X14.3598336",0.00442953180270079,-0.0127465499688436,0.00792433302730798,-0.0545266371348966,0.0508661839785397,0.0247749341779345,-0.0128607736265748,-0.00266220553121424,-0.021066914217082,0.0267112105863502,0.048298091189402,-0.038062391873637,0.0155596858664832,0.025900034206436,0.0157749081984646,-0.0233571895762735,0.0775267318666235,-0.00179905663200522,-0.0187105121431783,-0.0623598850732818,-0.0214223800114069,0.0146309708565793,-0.0272555795274736,0.0456438168657692,-0.0120454136439541,-0.0224307931017498,-0.0441984395461849,0.0199958490221905,-0.0146698456404704,-0.0145935348574576
"X14.36033362",-0.0120010321099255,-0.0222246471706918,0.00385964774716032,-0.0235885345334565,-0.0102411818718003,0.041898819917617,0.0326410027411448,-0.0403870205322521,-0.0179343048139066,0.0248935882175355,0.089310684700757,-0.00631073731479853,0.0652861393898169,-0.0444673563790192,0.0209874170294166,0.0377147175075862,-0.0115527522345828,0.0310198133942742,0.00908550011716145,-0.0703698487984647,-0.0111021276614546,-0.00630697756607521,0.048426899853123,-0.0275195263585586,-0.0107168801924233,0.0143298010249031,-0.00594526386976166,-9.22952062151221e-05,0.0133274093072539,0.0119517745051632
"X14.36058362",-0.00989566863731768,0.00245791223255785,0.0325646651984726,-0.054684393569258,-0.00926418980805905,0.00544699699140818,0.0228082123879252,0.0297753882552441,0.0165774949758339,0.0417519717900723,0.0511572936425099,0.0571635866608003,0.0160756516388369,0.0304395137413874,-0.0113321914377733,0.00551365996061265,-0.0121901982776972,0.0490683752239783,0.00837028082360396,0.056839128227546,-0.0344960343846733,0.0350712054799326,-0.0368851120111579,-0.00508246596442585,0.00722850795311947,-0.0263304030754531,-0.0217938273159647,0.00364103109223332,-0.0139031350530296,0.00158205096724666
"X14.36083362",-0.0179727657648612,0.0112336924012926,-0.0347644822445363,-0.0183124970666663,0.0172974664722283,0.0285663927046189,-0.0248739515021489,0.0615207737435088,-0.0195816651428407,0.0419441961500786,0.0238072559897915,0.0261681666890298,-0.00204724215023778,-0.00792874704476514,-0.0152738172919877,-0.00814424193211666,0.00755905268971334,-0.045915299548961,0.0207016725985782,0.0599467997534733,-0.0434830351103248,-0.0182270639961421,-0.00930924246293776,0.0721364631355047,-0.0198462104876318,-0.0156811537382275,0.0598389457735261,-0.0429322948702055,-0.0257136013618496,0.0163484061373166
"X14.36150036",-0.000775541953597629,-0.0139773404342097,0.0124650351656503,-0.0513745804256719,0.0337889077197716,0.0146164162652641,-0.0347652720745922,0.0571750770871481,0.023599950742,0.0393032218797175,0.0354056104050358,0.0187428655060471,0.00857022758710601,0.0114117222049557,-0.0198051831710367,0.0178748595980939,-0.00386011610596281,0.0673455163324694,0.0414848672247494,0.0389521788251824,-0.00432145744201197,0.0707999268495693,-0.00753058841442205,0.0123664928987002,-0.0279447157705126,0.0528444598573085,-0.0322179162085816,-0.0312575220844399,0.0109464030750497,-0.0259918398876036
"X14.36175009",0.0187868453430642,0.0209659965273857,0.0368004287675236,0.010522610306462,0.0201995791449473,-0.000577151123129077,-0.0164390498291237,-0.00187054660044482,0.038936993806087,-0.0417477389019865,-0.021054835438563,0.0480719438436232,-0.0404128180567086,0.0148078354898628,-0.0798921852106602,0.0102990056612344,0.00552861194429957,0.0211982690834403,-0.042653516839773,0.0252592948827004,0.00714146708778414,0.0141547879173883,-0.0119242532743313,-0.0602106703735686,0.0661400481730674,0.0369447869359126,-0.00202729381175134,0.0315945561006305,0.0268901803275791,-0.00951656768496927
"X14.36183341",0.0167003042754754,0.0294286705722292,0.0432030873334907,0.00970040954189939,0.00915584121114231,0.0254797320083009,0.0136979150845707,0.00483725952547892,0.0211541644620919,0.0109517564688297,-0.0100486445857996,-0.0201323870860216,0.00676174884631077,-0.0247245198400718,-0.0382211898084054,-0.0416570300241707,-0.0523263145909435,0.00204823768641864,-0.0487318199234602,0.0159302814999721,-0.0155962248289679,-0.0414310006008653,-0.00470967047940372,-0.117468914580249,0.0430562912846947,0.00178373837291536,-0.0456205664315668,0.0192467066378597,0.0209913272480237,0.0117191352030358
"X14.36200029",0.00456785849741424,0.0132137915231083,0.0518586399784967,0.00911691726119112,0.0055130721377918,-0.0248563821489844,-0.0455478589995081,0.0179960493281797,0.02615482428285,-0.00999813818027661,0.0186978834597179,0.0226970719885525,-0.0520042999306344,-0.00166420493590605,-0.0569951556041548,-0.0165763978726664,-0.0677919142086214,-0.00574309617033769,0.0494301148566265,0.0370935740455175,0.00150946031248136,-0.00248179582466366,-0.0336265250691874,-0.0432261546577658,0.0768612549755099,0.0516378042027838,-0.0538309610703982,0.0240258572919287,0.000740474113245351,-0.0331196555737375
"X14.36216703",-0.0127971993128349,0.016548378358819,0.0171812597887512,0.00888208723504698,-0.0358034201679579,0.0170565549298214,0.037737754861747,-0.0186312935048291,0.0388163550416725,-0.00146373620497074,0.0544045718602015,-0.0641619252098578,-0.000186356509180347,-0.100394428624381,-0.0654519669287158,-0.00721182317314179,-0.0191725533123182,-0.0309773831027392,-0.0435520160443497,0.021069352631569,0.00117278390317068,-0.00668922877901618,-0.0202304364947759,0.015793668098739,0.0307925673776817,-0.0196633627275564,0.015754842279628,0.0632986260304553,-0.00194319050721357,-0.00814920845548953
"X14.36216711",-0.0164711983272649,0.0145001463166881,0.0440630249494125,-0.00271007060976432,0.0204326870231882,0.0103632088842276,-0.0133872113335828,-0.0135123403769265,0.0173364724048545,0.0220958387412846,0.0554095487383032,0.00271757247750038,0.0338228882239401,-0.070322333432913,0.0553959086492973,0.0361859332529503,0.00577938536526628,-0.0521902454952113,0.0353884203108969,-0.0570908635860998,0.0134519909394532,-0.00375283000488094,0.0020707134343056,-0.0546082832053193,0.0511530373854735,0.0563334108254245,0.00322528109918296,0.0193844909830793,0.00560811776388147,-0.0658814250127921
"X14.36341687",-0.0169020935476632,0.000701552231860094,0.0014805710340211,-0.0122502821683199,0.0424648012721501,0.0428327594563387,-0.0385628769542124,-0.0186338858862267,-0.0404193507727713,0.00956060245915978,0.0656481656028201,0.0656964451905223,0.0367318821012647,-0.0208425530611827,-0.0124097352869793,0.0284260384799916,-0.0136434375435327,0.0556927638687463,0.0190500222206057,0.010892845619819,0.00895904782172365,0.0201321669646488,0.0147347108241763,0.086517336427791,-0.0117770434313581,-0.0340708920648151,-0.0250066488064724,-0.00221618967508705,-0.0483725112829902,-0.0169196811357765
"X14.36366687",-0.00794204090659389,0.00331418112343592,0.0455629588038848,-0.0475768331308025,0.0160943703557066,0.000701628768064882,0.0250408537836962,0.0601636449493856,0.00270159883163972,0.0408486765854684,0.0105987110750125,0.0186212416954646,-0.0202962165873003,0.002073141297925,-0.0391425818781538,0.0159076300000253,-0.015508518589987,0.0372624153944313,0.0242261289471011,0.0250523699170289,-0.0227584521622745,0.0449195501838593,-0.0139851872189854,-0.00200450303949679,-0.00203368869879881,0.0306144235762639,-0.0306993096891976,0.00878198544508401,-0.00548939897060818,0.0328628481235655
"X14.36433362",-0.00690236746091674,0.00187947475524181,0.0431944557298602,-0.0556803342058483,-0.00275666564995541,0.00508644040261709,0.0182154168758597,0.0262091216586444,0.0129993314425555,0.0349713545082307,0.0505765243621999,0.0411262727781011,0.0273901072327946,0.0192399920425046,-0.00611553555099447,0.00420343978833965,0.0178050114153149,0.0586420189916032,-0.0343249687744026,0.000690394639559265,-0.0459008790548305,0.0374274779049629,0.0162782158405047,-0.0165289670490457,0.00018571106106136,-0.0123798925010874,-0.0141271162625833,-0.0171092449530576,-5.98783919361152e-05,0.0456063510126586
"X14.36650012",-0.0155007667546065,0.0149929029783972,0.0455548185397269,-0.000993271448896481,0.0210125773807474,0.008212485778516,-0.0129276940892723,-0.0132645573076125,0.0143188696391287,0.0191596539533454,0.0460177653296806,-0.00597856401182251,0.0392567976106435,-0.0722187960039045,0.0545552812552946,0.0364277221766015,0.0069800443431994,-0.0596576413777335,0.0411052561911992,-0.0544612385426885,0.0138747499722946,-0.00463410098045199,-0.00054361493559105,-0.0578259055551819,0.052491981804944,0.0551278333275107,0.00546572886050926,0.0233253304603855,0.00365108245801619,0.0162566070121267
"X14.36700012",0.0119038419979447,0.00576706125483002,0.0430677682842708,0.0261019350685459,0.0102109770505919,-0.0245991417791231,-0.0101937206906854,-0.00165511586988226,-0.00136793481732256,-0.0300261522864474,0.0118752995657052,0.040284600881982,-0.0337616589400571,0.0276627000102281,-0.0909920685031737,-0.0141897053581743,-0.0572517163066044,-0.00440613463516987,0.0705166395012117,0.0283077549669393,0.013204672325365,0.00680029483616045,-0.0579244481058797,0.0741042710108633,0.0419202078768442,-0.0468843636900324,-0.02981374385204,0.0391194141379434,0.0479994955868355,-0.0113044445577963
"X14.36800026",0.0103468644148884,-0.00952174571737096,0.0577168078570898,-0.00515290141493475,0.0491977703623606,0.00365004436047093,0.00489798070088384,-0.0289597613881922,0.0258873093858854,0.0268970745775265,0.028823066350269,0.0464830141423365,-0.0130465793310719,0.00238261364753672,0.0201844307235677,-0.0139110565856816,-0.0274986540720363,0.0328982564052842,-0.0131886569012692,0.0215360661152364,0.0182507119883404,0.0415115553585183,-0.0139368631780874,-0.0408121671640753,-0.000957412442963736,0.00394798802918267,0.000377746909597887,-0.0422948067950963,-0.0565223567251265,-0.0309140458420426
