"","Comp 1","Comp 2","Comp 3"
"X10.1755836",-0.0297565592975946,0.0252777116865737,-0.0245773701813876
"X10.17733377",-0.0138376274276665,0.0197220020456487,-0.0169621152975182
"X10.17900003",-0.00554490226635591,0.00694402487566052,-0.00459798743325504
"X10.18083353",-0.00725368576475752,0.00531412327731883,-0.00527366204473997
"X10.18783344",-0.037980937568643,0.0297228031226632,-0.033653475070636
"X10.18841677",-0.0184848585148217,0.023501850601503,-0.0224107115950443
"X10.18850027",-0.0154516296893564,0.0105642379348501,-0.0141113823901953
"X10.18866696",-0.0111702762318062,0.0142904625436535,-0.0145340312443524
"X10.18933313",-0.0643919120734523,0.061623412735244,-0.0460235242335204
"X10.20399994",-0.00760634628209686,0.00972143722564319,-0.00631734957930377
"X10.47549964",-0.00839408595869701,-0.00481917147843407,-0.0083866822682152
"X10.47700018",-0.0191103669715032,-0.0144502012143421,-0.0197548473536422
"X10.4785003",-0.0103779954857976,-0.00448769098430097,-0.0078867461017032
"X10.49258364",-0.00497332010825308,-0.0127588797858612,-0.0222300862859106
"X10.49283297",-0.00544774024112912,-0.000995256800079647,-0.00756185418837766
"X10.49333372",0.0139376857314198,0.0484444698757199,0.0260750061729954
"X10.4937504",0.000297250274298649,-0.00717132316363707,-0.00463892158055006
"X10.49616707",-0.00541356075976045,-0.00470882080745515,-0.00807192281524133
"X10.49683355",-0.00159908962156457,0.000790468747427606,-0.00666507329731776
"X10.49783295",-0.0113534364410796,-0.00101026437864751,-0.013137924735783
"X10.4981663",-0.00987014311848168,-0.00485733831646191,-0.0163452935886688
"X10.4991666",0.0125434339098203,0.000168325900733507,-0.00240079472027638
"X10.49933295",-0.0157589318435185,-0.00463816655216976,-0.00971019337454752
"X10.5011663",-0.0195526836140087,-0.000778365641334679,-0.0150311088890392
"X10.50149964",0.0366647020570994,0.00344693743821106,0.00404603470470816
"X10.5065002",0.00207899039318858,0.00151351302180102,-0.0042745109982028
"X10.50733353",-0.00050644707229796,0.00542705826115892,-0.0033152903564772
"X10.50741688",-0.0100457883052498,-0.0010146396154135,-0.00691766673156257
