"Pair_of_PCs","Sum_p_values(F_statistics)","Variance(%)"
"PC32vsPC34",4.13374304365538,0.7
"PC30vsPC36",4.13834719103458,0.6
"PC17vsPC24",4.14116685574677,1.8
"PC7vsPC9",4.15056975870845,5.7
"PC4vsPC5",4.15479078635619,13.9
"PC5vsPC21",4.15925415048426,5.8
"PC30vsPC33",4.1610158144783,0.7
"PC32vsPC38",4.16579216052965,0.6
"PC29vsPC38",4.18579489528689,0.6
"PC9vsPC33",4.19078705998451,2.8
"PC12vsPC20",4.19649297884198,2.7
"PC24vsPC38",4.20014354897729,0.9
"PC21vsPC30",4.20619863421029,1.2
"PC14vsPC21",4.21167934932666,2.2
"PC7vsPC17",4.21578768407338,4.3
"PC11vsPC29",4.22381668517438,2.5
"PC7vsPC34",4.22635687549282,3.5
"PC7vsPC38",4.231353353781,3.4
"PC4vsPC30",4.23405696732098,9.3
"PC8vsPC38",4.23964985633741,3
"PC17vsPC32",4.24225712187014,1.5
"PC11vsPC20",4.24859966238036,3
"PC8vsPC24",4.25155170823661,3.5
"PC4vsPC14",4.25335632566269,10.3
"PC8vsPC29",4.25362588798686,3.2
"PC8vsPC9",4.2582453063125,5.3
"PC5vsPC33",4.26223204448482,5.3
"PC7vsPC27",4.26395692654884,3.7
"PC20vsPC32",4.26811497023521,1.3
"PC27vsPC38",4.2694971141321,0.7
"PC9vsPC11",4.27530776690847,4.6
"PC9vsPC21",4.27539518611953,3.3
"PC14vsPC33",4.2773552094049,1.7
"PC7vsPC20",4.28090915294987,4.1
"PC17vsPC38",4.29553877518687,1.3
"PC8vsPC34",4.31201685240399,3.1
"PC9vsPC27",4.31450309157626,3
"PC9vsPC32",4.32055652502337,2.9
"PC11vsPC34",4.32233293231865,2.4
"PC12vsPC34",4.32616703484379,2.1
"PC5vsPC17",4.32782723746591,6.1
"PC5vsPC11",4.33294132463624,7.1
"PC7vsPC29",4.34879331544866,3.6
"PC20vsPC38",4.3612621335199,1.1
"PC17vsPC20",4.36702531214779,2
"PC27vsPC34",4.36704852264958,0.8
"PC17vsPC34",4.36869925642154,1.4
"PC27vsPC29",4.36976821750802,0.9
"PC17vsPC29",4.38649472908574,1.5
"PC29vsPC32",4.38963762545767,0.8
"PC9vsPC12",4.39913630449083,4.3
"PC5vsPC8",4.40935086046204,7.8
"PC20vsPC29",4.43517295282961,1.3
"PC5vsPC38",4.4373168118227,5.2
"PC20vsPC24",4.43758231901768,1.6
"PC12vsPC14",4.44484021909349,3.2
"PC24vsPC34",4.45075402767486,1
"PC9vsPC17",4.46070627299047,3.6
"PC5vsPC7",4.46358147680485,8.2
"PC9vsPC24",4.47212433913401,3.2
"PC5vsPC12",4.47591611720687,6.8
"PC9vsPC38",4.49601586742198,2.7
"PC5vsPC32",4.51175302539312,5.4
"PC5vsPC27",4.53354855660188,5.5
"PC8vsPC14",4.53764534521986,4.2
"PC29vsPC34",4.55957708893687,0.7
"PC14vsPC32",4.56150835059226,1.8
"PC11vsPC30",4.56414593965965,2.5
"PC30vsPC32",4.56731833257002,0.8
"PC12vsPC30",4.56786029367723,2.2
"PC34vsPC38",4.58043283886599,0.5
"PC5vsPC24",4.5898098982437,5.7
"PC5vsPC29",4.59671128209849,5.4
"PC9vsPC29",4.60370502750837,2.9
"PC8vsPC30",4.60509314684374,3.2
"PC7vsPC30",4.61061212438393,3.6
"PC27vsPC30",4.62959796043318,0.9
"PC5vsPC20",4.63282661516766,5.9
"PC20vsPC34",4.64524228194864,1.2
"PC30vsPC38",4.65070999711983,0.6
"PC9vsPC20",4.664607911394,3.4
"PC17vsPC30",4.67149341601593,1.5
"PC14vsPC27",4.68722828246846,1.9
"PC14vsPC17",4.69184998211909,2.5
"PC9vsPC34",4.6996451080409,2.8
"PC14vsPC24",4.72910012973488,2.1
"PC14vsPC38",4.73526980769315,1.6
"PC5vsPC34",4.74782051617928,5.3
"PC7vsPC14",4.75688459415315,4.6
"PC24vsPC30",4.80649380451261,1.1
"PC14vsPC20",4.83809866529419,2.3
"PC14vsPC29",4.90210220979121,1.8
"PC14vsPC34",4.90356420036215,1.7
"PC20vsPC30",4.93358916732243,1.3
"PC29vsPC30",4.95998238035355,0.8
"PC5vsPC9",4.98983632348322,7.5
"PC9vsPC14",5.01640104641981,3.9
"PC30vsPC34",5.0497972171107,0.7
"PC9vsPC30",5.08544524126767,2.9
"PC5vsPC14",5.21672716141712,6.4
"PC5vsPC30",5.21869500147416,5.4
"PC14vsPC30",5.28169074140166,1.8
