	name	fold	log2fold	tstat	pvalue	qvalue	updown	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	pip031116_control	pip031116_pest	maxint	mean1	sd1	mean2	sd2	mns13pip3p_again	mns1pip3p	mns20pip2p2	mns20pip4p	mns22pip2p	mns24pip4p	mns26pip1p	mns27pip1p	mns28pip1p2	mns2pip1p2	mns31pip3p2	mns32pip3p	mns34pip3p	mns4pip1p	mns9pip4p	mnsC50pip2p	mnsC51pip4p2	mnsC52pip2p2	mnsC53pip2p2	mnsJ1pip4p	mns12pip4p	mns15pip2p	mns15pip4p2	mns18pip2p	mns23pip2p	mns23pip4p	mns24pip2p	mns25pip3p	mns26pip3p2	mns30pip1p	mns30pip3p2	mns32pip1p	mns34pip1p	mns35pip1p2	mns3pip3p	mns41pip4p	mns4pip3p2	mns6pip1p	mns9pip2p	mnsC52pip4p
21	M280T16	1.785779701	-0.836554117	-2.231321159	0.03321424	0.999774321	DOWN	280.3797385	280.2855273	280.4513784	16.30508368	16.25950072	16.33133289	34	19	15	3272.277344	4747.126976	3635.41063	2656.620996	2083.05203	0	1430.480734	2335.88984	3563.17551	8165.498663	6426.303371	12750.67934	1972.06295	5019.555779	3421.202348	3071.702224	3807.196016	6483.293859	6223.076878	14242.12206	4059.763916	2190.429062	1302.421156	2854.685364	5623.000455	5626.306134	0	2068.135991	0	0	2920.302112	2669.351031	7435.234807	2924.291424	2765.898249	3727.35133	3714.44168	1910.549657	2352.17867	3411.566035	5920.213219	2212.573658	3474.025927	0	0
22	M280T26	1.799210224	-0.847363764	-2.231280983	0.033276583	0.999774321	DOWN	280.3761057	280.2844779	280.4264037	25.55983315	25.52716723	25.77116732	40	18	16	20447.84375	44490.14159	34476.71633	24726.4647	19505.8689	25595.03401	6550.091927	13555.20855	22891.51064	90957.57866	78893.57013	86012.96091	18359.05856	81280.86065	25838.28424	18970.45931	20314.83509	66626.42793	91071.43385	113501.1616	46528.05716	21449.32845	3199.540628	12648.2604	45559.16904	66201.89278	0	8662.424006	4189.972987	25819.19884	18993.06807	13177.03523	60607.64652	21704.12921	29028.91363	37581.64613	42939.5678	22709.71868	13389.2152	21768.83196	52626.14808	21259.93833	33869.94653	0	0
23	M226T28	1.752869398	-0.809718508	-2.222664554	0.033641388	0.999774321	DOWN	226.0982466	226.0326948	226.1791178	27.65199992	26.81533241	27.70050051	36	17	12	1965.044922	4943.84439	3664.666424	2820.052664	2197.826117	8460.802414	2033.950787	105.2438385	3098.197127	6121.883575	6720.425672	12957.84605	2035.94558	5614.679325	3370.613576	2535.444165	5010.7882	5077.322378	6332.581479	13074.30226	6514.621593	422.3736323	227.2279419	2570.634885	6592.00331	5461.788165	589.8415376	684.2657248	0	3758.972685	3407.298701	2693.908451	8248.598537	2936.108459	3278.916518	158.0338856	4682.335665	1247.091534	2432.679682	5075.292133	4956.078048	471.4068402	3096.513612	24.73973996	3197.183369
24	M281T28	1.810061724	-0.856038895	-2.22029855	0.034221378	0.999774321	DOWN	281.3802908	281.2930455	281.4703288	27.95816687	27.80099939	27.99033391	31	17	10	7267.097656	10105.72528	7984.067632	5581.199546	4394.006188	16354.37799	2118.167404	4368.369515	7049.956571	16007.06572	13617.45789	28701.74639	3720.308969	11609.90657	7437.513755	6412.568907	7362.085091	15299.38608	13375.5658	27305.34597	1522.268161	18.55905069	1581.903141	6103.376354	12148.57627	13122.73926	0	0	0	3456.334526	6014.828118	5899.795012	14857.22603	7791.708058	6425.792745	7325.305361	8349.279966	3353.539631	4990.564202	7180.560991	11542.19233	4306.614718	7007.509959	0	0
25	M448T36	1.857535516	-0.893389795	-2.204448083	0.034317471	0.999774321	DOWN	448.1112438	448.028271	448.2246124	36.12158306	36.0994986	36.47666765	48	16	12	2415.25	2123.522574	1625.953885	1141.715462	1150.417419	69.79045163	504.4277429	1675.203493	2033.327628	4701.312298	4441.585959	3175.495909	601.9131819	4346.618422	1847.853549	1188.461635	1150.836084	4408.522941	3891.108706	0	3518.714561	1023.600612	0	1546.087274	2345.591037	3941.544325	114.779842	907.258693	0	83.43453057	2128.298816	2908.134299	0	1858.528582	1653.963979	1026.975763	2545.336346	643.1837287	315.945729	1424.640733	0	1955.114986	1327.168891	0	0
26	M147T26	1.729686875	-0.79051089	-2.216219661	0.034634987	0.999774321	DOWN	146.6817205	146.6043869	146.7230457	25.75299949	25.25283418	25.95066701	56	19	16	14549.05469	20814.34849	15603.98037	12032.46314	8399.532244	33745.96766	3107.309105	7313.645257	11581.90313	30465.13068	24991.10191	56581.2864	5422.423277	23327.20178	12489.0646	11898.08517	15263.01358	32193.48743	30332.80159	54443.94837	16530.1183	7022.641398	2339.665746	9825.251838	27412.92252	25113.81679	28132.34881	4446.655332	0	8019.054222	9704.833513	12602.02693	26540.20136	11923.95911	10634.60412	14982.57299	15207.6107	8252.052442	11897.89615	12845.45081	21846.91461	4866.677483	13632.58742	0	0
27	M251T15	1.610161855	-0.687205717	-2.19453041	0.034818798	0.999774321	DOWN	251.2305766	251.1606847	251.2985112	15.06583307	15.03266643	15.08333326	30	16	14	1657.705078	1838.703786	1129.803371	1141.040999	863.0628758	0	585.1150527	1259.588837	1703.227166	3561.450604	3562.903466	4172.832217	801.6987956	2320.395771	1366.720486	1379.947493	1247.298992	2945.146294	2256.765322	2693.118432	1853.671344	1153.59743	299.1549917	1307.550373	2303.892659	2604.846253	0	1257.802341	60.87499765	32.80663232	1327.26709	1296.745813	2579.032358	1643.307046	1214.60381	270.2897132	1616.468861	1080.561274	999.2708144	1441.058202	2550.204856	1237.837404	1607.842522	0	0
28	M72T27_1	1.203688695	-0.267462322	-2.185164819	0.035112341	0.999774321	DOWN	72.24731415	72.22393039	72.2765455	27.28383352	27.11066735	27.61966676	22	8	12	121942.3125	324157.0331	79120.65818	269303.047	79643.19684	255735.851	302579.9454	382710.0161	210798.9197	322039.6256	406973.3491	195002.9531	159827.8672	298221.5705	381325.2697	450916.4682	342409.9235	286445.2921	287107.8868	332315.8626	294920.4545	398316.9228	358753.4116	376511.6747	440227.3972	323671.527	170853.2601	373151.5158	211783.6005	438752.9122	214180.9425	284533.5243	206554.993	315820.9927	209448.5925	180237.7563	371400.5392	215753.9454	348027.9213	206800.2597	245893.2847	332710.2311	206632.7109	186675.3901	343177.0399
29	M335T27	1.818508043	-0.862755306	-2.184636627	0.036818313	0.999774321	DOWN	334.6111213	334.5330958	334.7383913	27.29691668	27.16933252	28.02249908	48	19	15	2028.946289	6135.495898	4912.780285	3373.163906	2800.094628	5339.246917	1460.564686	4522.473602	3241.139927	10707.0869	16504.75073	12079.13101	4123.022877	13148.53493	3138.464927	2604.19024	1354.646869	10788.58333	13215.71308	9370.204321	1866.036715	2649.252058	809.5389844	1943.813225	3843.522633	8494.236518	2535.103766	2100.246375	3401.409373	0	4044.926677	12234.64177	1497.373708	4129.584719	4046.444364	3675.647701	2563.985067	3080.724861	1217.719612	2502.875216	2492.442134	1839.486236	2318.160474	0	5288.269545
30	M279T16	1.723688749	-0.785499286	-2.162933909	0.03878365	0.999774321	DOWN	279.3748936	279.2860055	279.4503462	16.30500035	16.25950072	16.33133289	35	19	16	6915.972656	9496.496545	7228.178492	5508.491686	3967.993457	0	2925.50952	4986.399403	6983.492679	16368.2167	12852.52323	25540.25373	4075.363598	9964.427624	6572.683894	6216.79842	7596.502002	12769.70613	12519.22647	28317.92871	8225.972549	4349.993005	2808.265443	5685.460669	11171.20712	11035.49342	0	3824.302153	0	3828.683106	5982.864882	5608.251476	14772.56797	6364.026156	5618.876353	7147.756802	7632.874502	3896.860774	4701.235496	6854.930396	11928.93198	4433.031795	6467.191644	0	71.95481189
31	M281T24	5.242468852	-2.390246385	-2.206928655	0.039196414	0.999774321	DOWN	281.3415282	281.211428	281.4002056	24.05766698	24.03200084	24.09800089	18	10	8	5546.070313	3747.636468	6070.067276	714.5561126	964.7495949	14300.94364	2305.989731	75.1897963	1469.923957	4723.577826	5342.666384	7953.018729	1904.737941	36.84450051	0	135.7640671	137.5968661	2232.278508	5143.532784	24500.46349	4410.392129	137.8481431	69.47079304	40.85845977	31.63161857	892.2630048	980.8179224	17.77209598	3666.911688	316.1122774	106.1889641	358.9374446	621.4665477	22.82931549	306.8147429	61.29267626	635.5992866	71.5687703	40.87901661	129.7116016	645.1167717	0	1126.086334	2715.201609	1575.552183
32	M232T18	1.651518987	-0.723793556	-2.137237978	0.040004902	0.999774321	DOWN	232.1297169	232.0404487	232.1885314	17.80200079	17.79450005	17.82966746	33	19	14	5932.1875	7909.853667	5415.299956	4787.934598	3653.619431	18562.0416	3321.633773	2877.446305	4378.289459	8245.489423	11932.37696	10946.79075	3290.034515	12593.90566	5642.102208	3623.39976	7197.770766	5901.803803	10927.45065	18887.7873	14328.32283	2791.888903	195.5546884	2660.308377	9892.675603	9898.480474	0	5463.474588	0	7151.263425	5928.774652	5266.128516	11884.30318	5405.431962	7267.353798	153.8510934	8582.239399	2652.020911	1838.186252	6134.350899	9086.531196	3577.088043	5469.213577	0	0
33	M447T36	1.85782563	-0.893615101	-2.121738892	0.040643091	0.999774321	DOWN	447.1480408	447.0308718	447.2414377	36.11916583	36.0994986	36.47666765	50	17	13	6587.625	5756.829474	4297.460387	3096.460427	3602.119195	0	1344.371064	4330.933977	5471.823954	12125.58866	12367.52219	12501.63404	1805.691705	8105.811629	4741.715774	3301.989067	3134.065395	11590.06165	10141.42969	0	9379.311962	3068.932694	1018.946114	4394.818418	6311.941499	14518.17459	0	2470.134072	0	0	4046.926796	7691.079838	0	5094.711338	4331.744292	2943.388034	6904.843583	1821.180399	1152.33947	3627.927256	0	3368.061924	3958.696945	0	0
34	M254T28	1.613984325	-0.690626568	-2.123035037	0.040925274	0.999774321	DOWN	254.2553654	254.1585069	254.3507988	27.63483303	27.12899954	27.70050051	54	19	18	28130.48438	70976.31101	45853.39015	43975.08315	33653.07262	127678.3648	29047.04169	18763.16579	46511.15845	90021.53964	92915.54134	163231.1924	28206.90284	81781.78542	51160.92904	34640.72202	71624.1204	68024.25644	92035.95997	172000.7372	92772.74819	20635.85711	12576.89798	36217.85209	89679.44732	72398.79182	2843.165132	2563.475112	0	50124.00498	46927.47579	34423.89895	114914.5978	44396.84731	44329.31569	27315.55242	65630.84306	20211.58584	35414.22107	63669.40124	66166.06299	25987.28967	42872.6589	0	119312.4751
35	M71T27	1.412722858	-0.498478472	-2.129840279	0.041059488	0.999774321	DOWN	71.30651234	71.26549745	71.33156321	27.32816667	27.18499919	27.95816722	76	20	20	8565.726563	39522.69243	20627.73012	27976.25324	12739.70631	48431.81766	14674.57479	40925.5935	26437.20395	57221.18334	75635.02278	36934.4323	32011.88538	71611.38094	18315.26933	29710.32601	15327.60942	63417.79675	60296.57442	45528.05357	64156.92491	39493.84857	9993.747271	27451.38515	12879.21861	45776.58378	20446.9989	7385.69684	24311.23252	21430.14699	34244.53581	53499.38961	38200.2778	27411.9854	42918.61974	24262.78298	20049.44256	23446.47131	7990.540003	36747.96782	10169.3577	17323.60666	36786.8414	27774.68855	39347.89838
36	M278T16	1.708002919	-0.77231044	-2.13097056	0.041546439	0.999774321	DOWN	278.3647989	278.2816378	278.4471408	16.30849976	16.25950072	16.88449938	36	19	16	26660.39063	35679.47714	27210.21303	20888.30154	14938.81259	0	11623.31911	19169.03143	25583.98405	60588.79023	48053.48034	95677.46388	15581.49731	37548.63235	24559.0969	22849.21385	28877.778	47658.84683	47001.05455	107643.6478	31109.54398	16478.5334	10215.38109	21547.26327	41822.98443	41789.48576	0	15204.4762	0	14177.54931	22468.95971	20978.39888	54967.17907	24482.70612	20813.32821	27527.98893	28517.65272	14807.38756	17923.9263	26097.6197	45150.01194	16985.74778	25873.61255	0	0
37	M279T28	1.793236868	-0.842566066	-2.129886842	0.041801887	0.999774321	DOWN	279.3859012	279.2945657	279.4662011	27.95816725	27.92583275	27.99900055	26	15	11	2019.455078	2826.58194	2319.514659	1575.115503	1234.795217	7.099504179	444.5391525	117.0888122	2092.998282	4624.392829	3965.740222	8263.163056	1127.085727	3389.418819	2228.792224	2178.3173	1959.117168	4818.845882	4035.919653	8045.148078	2610.475135	1245.189928	533.8746312	1679.84038	3164.592019	3766.814666	76.23818822	604.1275082	0	269.0865875	1758.839738	1174.107884	4099.705165	2172.560535	1962.100782	2179.679085	2178.271827	1045.237106	1455.605178	2137.61769	3316.043291	1223.360329	2082.914504	0	0
